,const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
0,1.0,51910,2021-09-17,733595.8242416381,705344.8463829649,757557.678587858,-1,0.6333333333333333,126.86666666666665,0.2913553113553113,58.27106227106229,0.0,0.0,0.0,-1,1,0.7191924890464443
1,1.0,51910,2021-09-23,728843.7051177025,689864.1566452001,755440.0694841164,-1,0.5333333333333333,106.66666666666666,0.5487525632262474,109.75051264524949,0.036642078310251236,0.7637104988098145,0.0,1,1,0.7628578392396523
2,1.0,51910,2021-09-24,727074.2542147636,772048.2420114914,755451.0802824063,-1,0.2,40.00000000000001,0.4203869047619048,84.07738095238095,0.061370400711894035,0.7637104988098145,0.0,1,-1,0.4848084758824031
3,1.0,51910,2021-09-27,728013.4517550468,775235.263125733,749973.2190278887,-1,0.8333333333333334,166.66666666666666,0.5218253968253969,104.36507936507937,0.1504715383052826,0.3436179757118225,0.0,1,1,0.5531407228261077
4,1.0,51910,2021-09-28,733296.0249185562,794974.5255719866,749199.5155825074,-1,0.31746031746031744,63.492063492063494,0.18181818181818185,36.36363636363637,0.2781711295247078,0.3436179757118225,0.0,1,-1,0.36784999483559755
5,1.0,51910,2021-09-29,740529.1216373444,781150.8241646684,744032.8595704057,-1,0.0,0.0,0.0,0.0,0.11413507163524628,0.931218683719635,0.0,-1,-1,0.307562791147851
6,1.0,51910,2021-09-30,743741.0002946855,769613.2687277277,748236.5022068167,1,0.4166666666666667,83.66666666666667,0.0,0.0,0.14089817305405936,0.931218683719635,0.0,1,-1,0.4111955163023073
7,1.0,51910,2021-10-01,747602.648615837,777926.1110860361,747663.451070091,-1,0.7426900584795321,148.53801169590642,0.6347826086956522,126.95652173913044,0.3677166936298211,0.9657880663871764,0.0,-1,-1,0.4889779851330666
8,1.0,51910,2021-10-05,751823.0404853821,767870.5642712363,740724.272029626,-1,0.5945578231292517,119.05442176870748,0.3223980880230881,64.4796176046176,0.0797126404941082,0.9657880663871764,0.0,-1,-1,0.42112591093948104
9,1.0,51910,2021-10-06,755778.76496315,741458.8920756967,735833.4048035298,0,0.6964285714285714,139.28571428571428,0.08333333333333333,16.666666666666654,0.0797126404941082,0.9657880663871764,0.0,1,-1,0.45775264583261244
