code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,close
5930,2021-09-14,75607.2744140625,76546.6483300829,76795.82812229077,1,0.6984126984126985,139.68253968253967,0.7652066341997692,153.04132683995385,76600
5930,2021-09-15,75569.95495605469,76491.08497472803,76752.85927909732,-1,0.7098931132555322,141.9786226511065,0.5711775878442544,114.36051756885092,77000
5930,2021-09-16,75628.71740722656,76936.87973354082,76786.92300924691,0,0.8318452380952381,166.36904761904762,0.6588617265087854,131.77234530175707,76100
5930,2021-09-17,76019.1767578125,76320.41718345125,76795.44625434278,-1,0.749000999000999,149.8001998001998,0.4487936449396895,89.75872898793793,77200
5930,2021-09-23,76279.76904296875,76895.10958142759,76709.39712544685,-1,0.7096440750213128,142.01577152600169,0.5991352730516817,119.85337039981005,77400
5930,2021-09-24,76373.80688476562,77680.41069898686,76605.65572182827,-1,0.529076479076479,105.81529581529581,0.5552672029216651,111.05344058433302,77300
5930,2021-09-27,76342.91162109375,77162.59166319207,76326.4422074567,-1,0.5549824249824251,111.14800014800016,0.7401645267357342,148.03290534714685,77700
5930,2021-09-28,76418.09033203125,77641.18038252764,76391.28848740105,0,0.5856030662354773,117.39334051982273,0.495467032967033,99.09340659340658,76300
5930,2021-09-29,76758.20068359375,76541.42479116977,76163.20025480233,1,0.3362745098039216,67.25490196078431,0.6412698412698413,128.25396825396825,74100
5930,2021-09-30,76251.18139648438,73766.2246482903,76026.70656212322,-1,,,,,74600
